target_events,source,creator,title,source_url,license,source_format,source_rate_hz,source_bit_depth,channels,production_action,status
SFX_AMB_Jungle_DayBed;SFX_AMB_Jungle_DeepBed,Freesound,larval1977,Ambient-01_JungleHills.wav,https://freesound.org/s/38487/,CC0,WAV,48000,16,stereo,"download manually; edit into separate day/deep beds; de-noise only if needed; loop-QA",candidate
SFX_WTH_Rain_OnTarp,Freesound,Breviceps,Rain on tent,https://freesound.org/people/Breviceps/sounds/484723/,CC0,WAV,44100,16,stereo,"download manually; resample 48k; remove handling noise; create 3D mono and shelter stereo derivatives",candidate
SFX_WTH_Rain_OnTarp,Freesound,Breviceps,Heavy Rain on a tent,https://freesound.org/people/Breviceps/sounds/484724/,CC0,WAV,44100,16,stereo,"download manually; resample 48k; use as heavy-rain layer; create 3D mono derivative",candidate
SFX_AMB_Beach_OceanNear;SFX_AMB_Beach_OceanFar,Freesound,kkenny101,Gentle Ocean Waves Loop,https://www.freesound.org/people/kkenny101/sounds/852826/,CC0,WAV,48000,24,mono,"download manually; near bed may use source directly after QA; derive far bed with EQ/level only",candidate
SFX_ENV_Fire_Idle;SFX_ENV_Fire_Low,Freesound,SKrafft,Campfire Position 1,https://freesound.org/people/SKrafft/sounds/681366/,CC0,WAV,48000,24,stereo,"download manually; build seamless loop; derive mono world emitter; isolate clean crackles for one-shots",candidate
SFX_ENV_Fire_Pop,Freesound,craigsmith,R09-73-Campfire Crackle.wav,https://freesound.org/people/craigsmith/sounds/483315/,CC0,WAV,48000,24,mono,"download manually; segment into individual transient variations; trim and de-click",candidate
SFX_WTH_Storm_WindGust,Freesound,wintuh,Wind gust,https://freesound.org/people/wintuh/sounds/471854/,CC0,WAV,44100,16,mono,"download manually; resample 48k; layer sparingly; reject if vocal character is obvious in headset",candidate
SFX_WTH_Storm_Wind,Freesound,Kinoton,Wind Heavy Gusts,https://freesound.org/s/402889/,CC0,WAV,48000,24,stereo,"download manually; verify source-page terms before ingest despite CC0 label; edit storm bed and remove identifiable cyclic sections",license-review
SFX_WTH_Rain_OnTarp,Freesound,psiboy123,Rain HItting Tarp.wav,https://freesound.org/people/psiboy123/sounds/448459/,CC0,WAV,48000,24,stereo,"preferred clean tarp candidate; review full 10 s for contamination; create mono 3D derivative and loop only after seam edit",preferred-candidate
SFX_WTH_Rain_OnTarp,Freesound,Geoff-Bremner-Audio,Rain Tarp Close Outdoors,https://freesound.org/s/688706/,CC0,WAV,44100,24,stereo,"preferred long-form light/medium tarp source; birds are intentionally present so segment/select before loop; resample 48k",preferred-candidate
SFX_WTH_Rain_OnTarp;SFX_WTH_Thunder_Far,Freesound,Geoff-Bremner-Audio,camping rain tarp thunder 1,https://freesound.org/people/Geoff-Bremner-Audio/sounds/754430/,CC0,WAV,48000,24,mono,"storm shelter candidate with distant thunder; split rain-on-tarp bed from thunder event rather than using one mixed loop",preferred-candidate
SFX_AMB_Jungle_NightBed;SFX_NAT_Bird_JungleCall;SFX_NAT_Frog_Call;SFX_NAT_Insect_CicadaCluster,Freesound,felix.blume,Forest atmosphere at dusk with bird singing cricket light rain drops on foliage frog cicada recorded in Amazon rainforest,https://freesound.org/people/felix.blume/sounds/669223/,CC0,WAV,48000,24,stereo,"preferred Amazon dusk master source; audit isolated regions for bed vs one-shots; preserve MS stereo only for 2D bed; mono-extract local fauna events",preferred-candidate
SFX_NAT_Insect_CicadaCluster;SFX_AMB_Jungle_NightBed,Freesound,felix.blume,Cicadas and crickets in the Amazonian Rainforest,https://freesound.org/people/felix.blume/sounds/410434/,CC0,WAV,96000,24,stereo,"preferred Amazon insect source; downsample to 48k only in derivative; create several genuine temporal variations instead of pitch-only copies",preferred-candidate
