asset_id,category,asset_name,recommended_implementation,priority,states_variants,current_status,notes,unity_path,guid,width,height,alpha,origin
BR-001,Branding & identity,Primary logo,2D sprite / branding,P0,"main, monochrome, dark-bg, light-bg",existing_concept,"Needs export-safe variants for menu, splash and icon use.",Assets/ProjectOEN/GeneratedArtRuntime256/branding_identity/br_001_primary_logo.png,b9e3b4b58d18d30b8ec355669ddfa39f,256,256,True,generated_runtime_sprite
BR-002,Branding & identity,Secondary logo / wordmark,2D sprite,P1,"horizontal, stacked",missing,Useful for marketing and title screen layouts.,Assets/ProjectOEN/GeneratedArtRuntime256/branding_identity/br_002_secondary_logo_wordmark.png,02e92f2ccb3a9ba0c6df02cea4fa7b8b,256,256,True,generated_runtime_sprite
BR-003,Branding & identity,App icon emblem,2D sprite,P0,"full color, mono, mask-safe",missing,For launcher/app identity.,Assets/ProjectOEN/GeneratedArtRuntime256/branding_identity/br_003_app_icon_emblem.png,0629a83257e545217767551d32be475e,256,256,True,generated_runtime_sprite
BR-004,Branding & identity,Faction / scenario stamp,2D sprite,P2,"clean, distressed",missing,Optional seal for journals and cards.,Assets/ProjectOEN/GeneratedArtRuntime256/branding_identity/br_004_faction_scenario_stamp.png,e7ac0e8df7c1de86ec423fae297ae238,256,256,True,generated_runtime_sprite
BR-005,Branding & identity,Title screen backdrop frame,UI frame,P1,"dark, storm, neutral",missing,Decorative title framing.,Assets/ProjectOEN/GeneratedArtRuntime256/branding_identity/br_005_title_screen_backdrop_frame.png,7dce833b418f69712819e69de4ec17e0,256,256,True,generated_runtime_sprite
BR-006,Branding & identity,Loading screen title lockup,UI graphic,P1,"default, storm",missing,Canonical loading screen treatment.,Assets/ProjectOEN/GeneratedArtRuntime256/branding_identity/br_006_loading_screen_title_lockup.png,e76c11328409fa33f31a3ab497de6ca0,256,256,True,generated_runtime_sprite
BR-007,Branding & identity,Typography ornament set,2D UI ornament,P2,"dividers, corners, lines",missing,For journal and panels.,Assets/ProjectOEN/GeneratedArtRuntime256/branding_identity/br_007_typography_ornament_set.png,645f2f1c0360816ea470fa088aefc967,256,256,True,generated_runtime_sprite
BR-008,Branding & identity,Chapter / day badge set,UI badge,P0,"Day 1, Day 2, Day 3, Stormnatten",missing,Needed for scenario progression.,Assets/ProjectOEN/GeneratedArtRuntime256/branding_identity/br_008_chapter_day_badge_set.png,57f776edfcd261aaf8927371d510402e,256,256,True,generated_runtime_sprite
UI-001,Wrist UI & player status,Wrist device base frame,Diegetic UI,P0,"idle, hover, active",missing,Canonical player-status container.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_001_wrist_device_base_frame.png,8ff9fc8604213f25e750dce3832c7580,256,256,True,generated_runtime_sprite
UI-002,Wrist UI & player status,Health icon,Icon sprite,P0,"normal, low, critical",existing_concept,Heart icon exists as concept; needs production-ready set.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_002_health_icon.png,2382aa1a29d9fb575ffae147d6a6409c,256,256,True,generated_runtime_sprite
UI-003,Wrist UI & player status,Fatigue icon,Icon sprite,P0,"normal, tired, exhausted",missing,Canonical fatigue status.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_003_fatigue_icon.png,614da0beac04d70d3da638f7818a1d4e,256,256,True,generated_runtime_sprite
UI-004,Wrist UI & player status,Cold/Wet icon,Icon sprite,P0,"dry, wet, freezing",existing_concept,Lightning/weather icon may inform style; needs canonical cold/wet icon.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_004_cold_wet_icon.png,5843bb9a0a49a9f6701fa65e535a9483,256,256,True,generated_runtime_sprite
UI-005,Wrist UI & player status,Injury icon,Icon sprite,P0,"minor, severe, critical",existing_concept,Medical cross exists as concept; needs state variants.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_005_injury_icon.png,f729dae396429a6ce566cf56f7024d2f,256,256,True,generated_runtime_sprite
UI-006,Wrist UI & player status,Status ring background,UI sprite,P0,"full, half, low",missing,Radial or segmented status representation.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_006_status_ring_background.png,0a7ad387d8c45d3dee8710df0214b7e7,256,256,True,generated_runtime_sprite
UI-007,Wrist UI & player status,Player 1 identifier,UI marker,P0,"P1, highlighted",missing,Co-op readability.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_007_player_1_identifier.png,3e868001eb9b9e55a62c6ad8bc60223a,256,256,True,generated_runtime_sprite
UI-008,Wrist UI & player status,Player 2 identifier,UI marker,P0,"P2, highlighted",missing,Co-op readability.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_008_player_2_identifier.png,852ef7edef79a7ea86dac45c70800146,256,256,True,generated_runtime_sprite
UI-009,Wrist UI & player status,Condition alert pulse,UI effect sprite,P1,"warning, danger",missing,Lightweight alert overlay.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_009_condition_alert_pulse.png,f1c6783055d60497a4c0e5c6c68c6cac,256,256,True,generated_runtime_sprite
UI-010,Wrist UI & player status,Object held indicator,UI marker,P1,"held, shared-carry",missing,For co-op carry actions.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_010_object_held_indicator.png,8d83acb9134b8a9897a8a535fe82230b,256,256,True,generated_runtime_sprite
UI-011,Wrist UI & player status,Radio signal icon,Icon sprite,P1,"offline, weak, good",missing,Radio state.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_011_radio_signal_icon.png,2f2ce0e354d0456de57d6956d410ab6a,256,256,True,generated_runtime_sprite
UI-012,Wrist UI & player status,Shelter integrity icon,Icon sprite,P0,"intact, weakened, damaged",missing,Camp summary on diegetic displays.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_012_shelter_integrity_icon.png,e595b05755bebd4bfc5e9664bd96f87d,256,256,True,generated_runtime_sprite
UI-013,Wrist UI & player status,Fire strength icon,Icon sprite,P0,"out, ember, low, strong",missing,Camp summary on diegetic displays.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_013_fire_strength_icon.png,581202822f0bc2a34046c3372ae874e9,256,256,True,generated_runtime_sprite
UI-014,Wrist UI & player status,Signal progress icon,Icon sprite,P0,"none, partial, ready, active",missing,Camp summary / goal status.,Assets/ProjectOEN/GeneratedArtRuntime256/wrist_ui_player_status/ui_014_signal_progress_icon.png,acb824636f1760d87484f151294874aa,256,256,True,generated_runtime_sprite
PL-001,Planning board & phase UI,Planning board base,Diegetic UI panel,P0,"empty, populated",missing,Central planning phase surface.,Assets/ProjectOEN/GeneratedArtRuntime256/planning_board_phase_ui/pl_001_planning_board_base.png,12c79093d734a880cce6fa708c26d944,256,256,True,generated_runtime_sprite
PL-002,Planning board & phase UI,Time slots track,UI board element,P0,"4 slots, spent state",missing,Core planning mechanic.,Assets/ProjectOEN/GeneratedArtRuntime256/planning_board_phase_ui/pl_002_time_slots_track.png,e7e199ff47ae04d7500a5652d343388a,256,256,True,generated_runtime_sprite
PL-003,Planning board & phase UI,Action token – gather,Board token,P0,"idle, selected, placed",missing,Physical action token.,Assets/ProjectOEN/GeneratedArtRuntime256/planning_board_phase_ui/pl_003_action_token_gather.png,c50f79fe81a01931f40d5c7818619454,256,256,True,generated_runtime_sprite
PL-004,Planning board & phase UI,Action token – build,Board token,P0,"idle, selected, placed",missing,Physical action token.,Assets/ProjectOEN/GeneratedArtRuntime256/planning_board_phase_ui/pl_004_action_token_build.png,cfc467c4375dd6073c3c9f38340d600c,256,256,True,generated_runtime_sprite
PL-005,Planning board & phase UI,Action token – scout,Board token,P0,"idle, selected, placed",missing,Physical action token.,Assets/ProjectOEN/GeneratedArtRuntime256/planning_board_phase_ui/pl_005_action_token_scout.png,b7f472fcb2b0f7f2353874f54823a943,256,256,True,generated_runtime_sprite
PL-006,Planning board & phase UI,Action token – repair,Board token,P0,"idle, selected, placed",missing,Physical action token.,Assets/ProjectOEN/GeneratedArtRuntime256/planning_board_phase_ui/pl_006_action_token_repair.png,4adc75fc4e9e91e44887a6ea37407faa,256,256,True,generated_runtime_sprite
PL-007,Planning board & phase UI,Risk marker set,Board token,P1,"low, medium, high",missing,Used for consequence communication.,Assets/ProjectOEN/GeneratedArtRuntime256/planning_board_phase_ui/pl_007_risk_marker_set.png,b0297c5f61eaea05fa4a27e42e863aad,256,256,True,generated_runtime_sprite
PL-008,Planning board & phase UI,Camp summary board card,Board card,P0,"health, shelter, fire, signal",missing,Core planning summary.,Assets/ProjectOEN/GeneratedArtRuntime256/planning_board_phase_ui/pl_008_camp_summary_board_card.png,689f152e63776422149ac6333235863c,256,256,True,generated_runtime_sprite
PL-009,Planning board & phase UI,Weather card set,Board card,P1,"clear, rain, storm, lightning",missing,Optional scenario communication.,Assets/ProjectOEN/GeneratedArtRuntime256/planning_board_phase_ui/pl_009_weather_card_set.png,41f177b2eaca3ab1138ba61a0c493bc3,256,256,True,generated_runtime_sprite
PL-010,Planning board & phase UI,Objective card set,Board card,P0,"current objective, optional objective",missing,Goal communication.,Assets/ProjectOEN/GeneratedArtRuntime256/planning_board_phase_ui/pl_010_objective_card_set.png,716d4b79c5661fa39290b2b85940cd4a,256,256,True,generated_runtime_sprite
PL-011,Planning board & phase UI,Resource requirement pips,Board icon set,P0,"wood, rope, fuel, food, parts",missing,Small board UI tokens.,Assets/ProjectOEN/GeneratedArtRuntime256/planning_board_phase_ui/pl_011_resource_requirement_pips.png,a838d8b0eff6ad0714d727f1102dec7b,256,256,True,generated_runtime_sprite
PL-012,Planning board & phase UI,Consequences reveal panel,Board panel,P1,"hidden, reveal",missing,Stormnatten delayed consequence presentation.,Assets/ProjectOEN/GeneratedArtRuntime256/planning_board_phase_ui/pl_012_consequences_reveal_panel.png,645ae788534b537eeca937da236ce958,256,256,True,generated_runtime_sprite
RS-001,Resource icons & inventory support,Wood resource icon,Icon sprite,P0,"single, stack",missing,Core resource.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_001_wood_resource_icon.png,d19483ecaa747d7a4cefcbbc0b6f00dd,256,256,True,generated_runtime_sprite
RS-002,Resource icons & inventory support,Wet wood icon,Icon sprite,P0,"single, stack",missing,Affects fire/shelter systems.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_002_wet_wood_icon.png,ec900d03f65226ae8e14b9003df7e905,256,256,True,generated_runtime_sprite
RS-003,Resource icons & inventory support,Rope resource icon,Icon sprite,P0,"single, coil",missing,Core resource.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_003_rope_resource_icon.png,818c014d7e5b4a8849e817a5f3529de5,256,256,True,generated_runtime_sprite
RS-004,Resource icons & inventory support,Fiber / vines icon,Icon sprite,P1,"single, bundle",missing,Crafting material.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_004_fiber_vines_icon.png,defa204b405ffa3a581f3897064b1ebb,256,256,True,generated_runtime_sprite
RS-005,Resource icons & inventory support,Leaves / palm fronds icon,Icon sprite,P1,"single, bundle",missing,Shelter material.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_005_leaves_palm_fronds_icon.png,82bfae34da9ab88d2bdecc8da9ce2cdd,256,256,True,generated_runtime_sprite
RS-006,Resource icons & inventory support,Stone resource icon,Icon sprite,P1,"single, stack",missing,Campfire/base construction.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_006_stone_resource_icon.png,6d6bf746e48879f6236dcb6705e0723d,256,256,True,generated_runtime_sprite
