event_id,variations,session,prop_or_surface,performance,mic_setup,take_strategy,post,target_duration,status
SFX_AMB_Shelter_Calm,3,Shelter Bed,"tarp shelter/interior; calm exterior bleed","long stable interior room tone; tiny fabric settling only","stereo pair inside shelter + mono safety","record 3+ minutes per setup; choose three materially different stable windows","HPF only if needed; seamless edit; preserve enclosure tone",60-120s,recording-needed
SFX_AMB_Shelter_Windy,3,Shelter Bed,"same shelter under controlled wind load","continuous structure/fabric movement without isolated flap rhythm","stereo pair inside shelter + mono safety","record long passes at multiple wind loads; reject repetitive hand-driven movement","light cleanup; seamless edit; retain low exterior bleed",60-120s,recording-needed
SFX_NAT_Bird_WingFlap,6,Fauna Foley,"feathers/soft fabric/flexible fan props","single and double wing-like passes at varied speed/distance; no synthetic whoosh gesture","close mono 30-80cm + optional off-axis safety","record 20+ physical passes; select six distinct natural-feeling gestures","trim; remove prop clicks that reveal mechanism; retain air tail",0.15-1.2s,recording-needed
SFX_NAT_Animal_RustleNear,10,Threat Foley,"dry leaves; broad leaves; brush; small branches","irregular foliage displacement implying unseen body movement; no footstep rhythm","mono 1-3m off-axis in quiet outdoor/treated space","record long improvised passes from multiple directions; select ten non-repeating moments","light cleanup; preserve depth/transients; reject clothing/voice contamination",0.5-4s,recording-needed
SFX_NAT_Animal_BranchSnapFar,8,Threat Foley,"dry sticks/branches with outdoor or neutral room tail","single branch stress and snap at varied strength; performer positioned away from mic","mono 4-10m or close source re-recorded through natural space","record 20+ distinct snaps with natural decay; avoid identical stick sizes","trim onset carefully; retain distance tail; no artificial impact sweetener",0.4-3s,recording-needed
SFX_NAT_Animal_ScrapeFar,6,Threat Foley,"bark/wood/rough stone surfaces","slow ambiguous scrape and short drag from distance; no recognizable tool cadence","mono 4-10m/off-axis","record multiple surfaces/pressures; select six that share one believable creature-threat palette","HPF only if required; keep natural room/outdoor tail",0.8-5s,recording-needed
SFX_ENV_Fire_AddWood,8,Fire Interaction,"dry logs/sticks + safe inert ember-bed substitute or controlled fire recording","place/drop/push fuel into fire area at varied weight; capture impact plus debris response","close mono 0.5-1.5m; optional stereo safety","record 20+ gestures; safe simulated bed acceptable; never require hazardous live-fire handling","trim handling pre-roll; retain natural debris/crackle response",0.3-2.5s,recording-needed
SFX_ENV_Fire_Ignite,6,Fire Interaction,"safe match/lighter/kindling textures or licensed authentic ignition source","short ignition onset with small catch/flare texture; no magical synthetic cue","close mono 0.3-1m with safe setup","record safe ignition micro-events or acquire authentic CC0/PD source; select six distinct takes","de-click only where accidental; preserve ignition attack and short tail",0.2-2s,recording-needed
SFX_ENV_Fire_Extinguish,6,Fire Interaction,"water + safe hot-surface simulation or controlled extinguish setup","pour/smother extinguish with readable hiss/body/tail at varied intensity","mono 0.5-1.5m; splash protection for equipment","record controlled safe variants; select six without clipping or excessive room noise","trim; preserve hiss decay; no synthetic noise replacement",0.5-4s,recording-needed
SFX_INT_Pickup_Generic,8,Generic Interaction,"small neutral props with muted material identity","grip/lift/settle gestures for fallback interaction only","close mono 20-50cm","record several wood/composite-neutral props; select eight understated gestures","trim; soften only accidental peaks; do not erase tactile detail",0.1-0.8s,recording-needed
SFX_INT_Drop_Generic,8,Generic Interaction,"same neutral props + damped neutral surface","set-down/light drop fallback gestures; non-destructive dynamics","close mono 30-70cm","record 20+ varied placements/drops; select eight without dominant material signature","trim natural tail; reject table resonance that over-identifies surface",0.15-1.2s,recording-needed
SFX_CRF_Build_Place,8,Build Foley,"wood/rope/stone construction props","fit/place/seat component into construction; tactile physical contact not UI success","close mono 30-80cm","record multiple assembly geometries; select eight readable placement gestures","trim; preserve fit/contact detail; no musical sweetener",0.2-1.5s,recording-needed
SFX_CRF_Build_Hammer,10,Build Foley,"hand hammer/mallet + representative wood construction material","controlled build strikes at varied force/angle; avoid destructive splintering","mono 0.5-1.5m + optional room safety","record 30+ safe strikes across two compatible surfaces; select ten non-identical hits","preserve transient; remove accidental clipping; natural short room tail",0.15-1.2s,recording-needed
