source_key,event_id,variation,output_name,start_seconds,duration_seconds,channels,kind,extra_filters,landing_path,loop_intent,qa_status,status,notes
tarp_clean_psiboy,SFX_WTH_Rain_OnTarp,01,SFX_WTH_Rain_OnTarp_01.wav,0,10,mono,bed,"highpass=f=80,lowpass=f=15000",Spatial/Streaming/Weather,yes,candidate-seam-edit,blocked-source,"Use whole clean source as first mono derivative; seamless loop edit and Quest listening still required"
tarp_long_geoff,SFX_WTH_Rain_OnTarp,02,SFX_WTH_Rain_OnTarp_02.wav,,,mono,bed,"highpass=f=80,lowpass=f=15000",Spatial/Streaming/Weather,yes,needs-segment-review,blocked-segment-review,"Pick a bird-free 30-60 s region before marking ready"
tarp_storm_geoff,SFX_WTH_Rain_OnTarp,03,SFX_WTH_Rain_OnTarp_03.wav,,,mono,bed,"highpass=f=80,lowpass=f=15000",Spatial/Streaming/Weather,yes,needs-segment-review,blocked-segment-review,"Select tarp-dominant region; do not bake thunder into the loop"
tarp_storm_geoff,SFX_WTH_Thunder_Far,01,SFX_WTH_Thunder_Far_01.wav,,,mono,oneshot,"highpass=f=35,lowpass=f=12000",2D/OneShots/Weather,no,needs-segment-review,blocked-segment-review,"Cut one isolated distant thunder event with natural tail"
amazon_dusk_blume,SFX_AMB_Jungle_NightBed,01,SFX_AMB_Jungle_NightBed_01.wav,,,stereo,bed,"highpass=f=60,lowpass=f=15000",2D/Streaming/Ambience,yes,needs-segment-review,blocked-segment-review,"Choose a stable dusk-bed region without close one-off calls dominating"
amazon_dusk_blume,SFX_NAT_Bird_JungleCall,01,SFX_NAT_Bird_JungleCall_01.wav,,,mono,oneshot,"highpass=f=120,lowpass=f=15000",Spatial/OneShots/Nature,no,needs-segment-review,blocked-segment-review,"Isolate one clean jungle bird call and retain natural decay"
amazon_dusk_blume,SFX_NAT_Frog_Call,01,SFX_NAT_Frog_Call_01.wav,,,mono,oneshot,"highpass=f=80,lowpass=f=12000",Spatial/OneShots/Nature,no,needs-segment-review,blocked-segment-review,"Isolate one frog event; reject overlapping bird/cicada contamination"
amazon_insects_blume,SFX_NAT_Insect_CicadaCluster,05,SFX_NAT_Insect_CicadaCluster_05.wav,,,mono,oneshot,"highpass=f=100,lowpass=f=15000",Spatial/OneShots/Nature,no,needs-segment-review,blocked-segment-review,"Select first genuine temporal cluster after listening review"
amazon_insects_blume,SFX_NAT_Insect_CicadaCluster,06,SFX_NAT_Insect_CicadaCluster_06.wav,,,mono,oneshot,"highpass=f=100,lowpass=f=15000",Spatial/OneShots/Nature,no,needs-segment-review,blocked-segment-review,"Select a distinct later cluster; do not create pitch-only duplicate"
amazon_insects_blume,SFX_NAT_Insect_CicadaCluster,07,SFX_NAT_Insect_CicadaCluster_07.wav,,,mono,oneshot,"highpass=f=100,lowpass=f=15000",Spatial/OneShots/Nature,no,needs-segment-review,blocked-segment-review,"Select a distinct later cluster; do not create pitch-only duplicate"
amazon_insects_blume,SFX_NAT_Insect_CicadaCluster,08,SFX_NAT_Insect_CicadaCluster_08.wav,,,mono,oneshot,"highpass=f=100,lowpass=f=15000",Spatial/OneShots/Nature,no,needs-segment-review,blocked-segment-review,"Select a distinct later cluster; do not create pitch-only duplicate"
