event_id,variations,session,prop_or_surface,performance,mic_setup,take_strategy,post,target_duration,status
SFX_ENV_Tarp_Flap,12,Tarp,medium/heavy PE tarp,"short wind-driven snaps; no repetitive hand rhythm","close mono 0.5-1m + optional stereo room safety","record 30+ isolated movements across loose/tight tension","trim; de-click; HPF only as needed; preserve transient air",0.3-3s,recording-needed
SFX_ENV_Tarp_Handle,10,Tarp,medium/heavy PE tarp,"grab; fold; drag; bunch; release","close mono 20-50cm","3-4 performances of each gesture; vary grip speed","remove handling bumps that read as microphone contact",0.4-3s,recording-needed
SFX_ENV_Tarp_Tension,8,Tarp,tarp + rope eyelet,"pull material taut; eyelet strain; short settling movement","close mono 30-60cm","multiple tension levels without tearing prop","retain fabric/eyelet detail; reject speech/room contamination",0.2-2s,recording-needed
SFX_ENV_Rope_Handle,10,Rope,8-12mm natural/synthetic rope,"coil; grip; slide; feed through hand","close mono 20-40cm","record dry hands/gloves variants but choose one coherent set","light cleanup only; preserve fibre texture",0.2-2s,recording-needed
SFX_ENV_Rope_Tighten,10,Rope,rope + wood pole/eyelet,"pull knot tight; cinch; wrap under load","close mono 30-60cm","vary load and knot geometry; avoid identical cadence","trim starts/ends; keep strain transient",0.3-2s,recording-needed
SFX_ENV_Rope_Creak,8,Rope,loaded rope against wood/metal,"slow tension movement and fibre/anchor creak","close mono 40-80cm","long takes; extract non-repeating clean moments","remove low room rumble only if necessary",0.5-4s,recording-needed
SFX_ENV_Rope_TensionRelease,6,Rope,loaded rope/knot,"release tension; knot slip; rope recoil","close mono 40-80cm","record soft and stronger releases","retain natural tail; no synthetic whoosh",0.2-1.5s,recording-needed
SFX_ENV_Wood_Pickup,10,Wood,driftwood/planks,"hand grip; lift from sand/wood/ground","close mono 30-60cm","mix light sticks and medium planks within believable game scale","separate contact from footsteps; trim cleanly",0.2-1.2s,recording-needed
SFX_ENV_Wood_Drop,12,Wood,driftwood/planks on sand/dirt/wood,"short drops and set-downs","close mono 0.8-1.5m; pad mic against overload","4+ light; 4+ medium; 4+ heavy candidates","select impacts without clipping; keep natural decay",0.2-2s,recording-needed
SFX_ENV_Wood_Hit,12,Wood,wood on wood,"tool/plank knocks at varied force","close mono 0.8-1.5m","record broad force range; avoid machine-gun repetition","transient-safe edit; no limiter pumping",0.1-1.2s,recording-needed
SFX_ENV_Wood_Break,10,Wood,dry sticks/thin planks,"snap; split; short fracture","close mono 0.8-1.5m","different thicknesses; one clean break per take","preserve crack transient and debris tail",0.2-2s,recording-needed
SFX_ENV_Wood_Chop,12,Wood,wood + small axe/mallet proxy,"single controlled chop impacts","close mono 1-1.5m + safety track if available","vary angle/material density; no rhythmic sequences as masters","edit individual hits; reject metallic ringing unless intended",0.2-1.5s,recording-needed
SFX_ENV_Stone_Pickup,8,Stone,hand-size stones,"lift/scrape stone from sand/rock","close mono 30-60cm","multiple stone sizes; isolated contacts","keep gritty contact; no exaggerated sweetening",0.2-1s,recording-needed
SFX_ENV_Stone_Drop,10,Stone,stones on dirt/sand/rock,"short drops/set-downs","close mono 0.8-1.5m; protect capsule","capture soft ground and harder impacts but select coherent set","remove clipping; natural short tails",0.2-2s,recording-needed
SFX_ENV_Stone_Hit,12,Stone,stone on stone,"single knocks/strikes","close mono 0.8-1.5m","different stones and force; isolate each transient","control harsh resonance only if painful in headset",0.1-1.2s,recording-needed
SFX_ENV_Leaves_Rustle,12,Vegetation,dry + broad green leaves,"hand brush; body pass; short branch movement","close mono 30-70cm","record several densities and speeds","remove obvious hand/fabric contamination",0.2-3s,recording-needed
SFX_ENV_Water_SplashSmall,12,Water,shallow water container/pool,"hand/foot/object small splashes","close mono 0.8-1.2m with wind protection","varied but controlled small impacts","de-noise minimally; preserve high-frequency droplets",0.2-2s,recording-needed
SFX_ENV_Water_SplashLarge,8,Water,shallow water container/pool,"larger body/object entries","mono 1-2m; safety gain","record enough headroom for large transients","no aggressive limiting; retain body/tail",0.5-4s,recording-needed
SFX_ENV_Water_Pour,10,Water,canteen/bottle/pot,"short pours into pot/ground/container","close mono 30-70cm","vary vessel and amount while keeping survival-game scale","remove handling noise only when distracting",0.5-5s,recording-needed
SFX_ENV_Container_SetDown,8,Containers,canteen/pot/plastic/metal container,"controlled set-downs on wood/ground","close mono 0.5-1m","choose one material family per final definition if tone diverges","trim; preserve small resonance",0.2-2s,recording-needed
SFX_ENV_Container_Open,6,Containers,survival containers,"lid/cap/latch open","close mono 20-50cm","record slow/fast variants; isolated mechanism","no added UI click; physical mechanism only",0.3-2s,recording-needed
SFX_ENV_Container_Close,6,Containers,survival containers,"lid/cap/latch close","close mono 20-50cm","match opening prop family","preserve contact/lock tail",0.3-2s,recording-needed
SFX_ENV_Crate_Open,8,Crate,wooden crate/hinged lid,"lid lift; wood strain; latch release","close mono 0.5-1m","vary speed and load; capture hinge/wood separately where possible","reject modern clean cabinet character",0.5-3s,recording-needed
SFX_ENV_Crate_Close,8,Crate,wooden crate/hinged lid,"lid close; latch/wood settle","close mono 0.5-1m","light and medium closes; avoid destructive slams","retain wood resonance",0.3-2s,recording-needed
SFX_ENV_Metal_Scrape,8,Metal,weathered metal/box/tool,"short scrape against wood/rock/metal","mono 0.8-1.5m","record different pressures; avoid long painful squeals","tame only extreme headset resonances",0.3-3s,recording-needed
SFX_ENV_Metal_Impact,10,Metal,weathered metal/box/tool,"single knocks/impacts","mono 1-1.5m; conservative gain","range from small tool contact to medium box impact","preserve transient; reject clipping",0.1-1.5s,recording-needed
SFX_PLY_Footstep_SandDry,12,Footsteps,dry sand,"normal VR walking pace; heel/toe variation","mono near ankle 0.6-1m","record 30+ isolated left/right steps; avoid obvious alternation in exported pool","trim consistent onset; match perceived loudness",0.15-0.8s,recording-needed
SFX_PLY_Footstep_SandWet,12,Footsteps,wet compact sand,"normal walking with slight suction","mono near ankle 0.6-1m","30+ candidates; include subtle weight variation","preserve wet texture; reject deep mud character",0.15-0.8s,recording-needed
SFX_PLY_Footstep_Dirt,12,Footsteps,dirt/packed earth,"normal survival footwear","mono near ankle 0.6-1m","30+ candidates across small foot angles","avoid gravel-heavy takes unless intended",0.15-0.8s,recording-needed
SFX_PLY_Footstep_Rock,12,Footsteps,rock/stone,"firm steps without hard-boot exaggeration","mono near ankle 0.8-1.2m","30+ candidates; vary contact point","control sharp transients for Quest headset comfort",0.15-0.8s,recording-needed
SFX_PLY_Footstep_Wood,12,Footsteps,rough planks,"steps on shelter/wreck planks","mono near ankle 0.8-1.2m","record on non-squeaky and mildly creaky boards; select coherent pool","separate large structural creaks from step transient",0.15-0.8s,recording-needed
SFX_PLY_Footstep_Leaves,12,Footsteps,leaf litter,"normal walking through dry/green leaf mix","mono near ankle 0.6-1m","30+ candidates; avoid every step sounding maximally crunchy","control excessive HF but preserve texture",0.15-0.8s,recording-needed
SFX_PLY_Footstep_ShallowWater,12,Footsteps,ankle-shallow water,"walking/wading foot entries","mono 0.8-1.2m with splash protection","30+ candidates; separate step-sized splashes from generic water events","match footstep timing and perceived loudness",0.15-0.8s,recording-needed
SFX_PLY_Land_Soft,6,PlayerMovement,sand/dirt,"small drop/step-down landing","mono 0.8-1.2m","capture body/feet contact without vocal effort","trim; retain short body/gear tail",0.2-1s,recording-needed
SFX_PLY_Land_Hard,6,PlayerMovement,firm ground/rock,"larger controlled landing","mono 1-1.5m; conservative gain","capture impact plus subtle gear movement; no voice","headset-safe transient control only",0.3-1.5s,recording-needed
SFX_PLY_Wade,10,PlayerMovement,shallow water,"continuous one/two-step wade gestures","mono 0.8-1.2m","record varied short movements distinct from footsteps","preserve water body without looping cadence",0.3-2s,recording-needed
SFX_PLY_SwimStroke,10,PlayerMovement,pool/water,"single arm/body stroke","mono 1-1.5m","record isolated strokes with different energy","remove pool/mechanical ambience if present",0.4-2s,recording-needed
SFX_PLY_Cloth_Move,10,PlayerMovement,shirt/jacket/backpack cloth,"short torso/arm movement","close mono 20-40cm","record restrained movement; no theatrical swishes","high-pass handling rumble only as needed",0.2-1.5s,recording-needed
SFX_PLY_Hand_Grab,8,PlayerHands,cloth/wood/rope mixed interaction,"short grip contact","close mono 15-30cm","record subtle hand contacts; avoid finger snaps","very light cleanup; physical not UI-like",0.1-0.6s,recording-needed
SFX_PLY_Hand_Release,8,PlayerHands,cloth/wood/rope mixed interaction,"short release contact","close mono 15-30cm","match grab set; multiple materials but coherent intensity","very light cleanup",0.1-0.6s,recording-needed
