event_id,category,subcategory,variations,loop,spatial,duration,mixer,min_distance_m,max_distance_m,pitch_range,volume_range,priority,notes,filename_pattern,source_format,unity_import,status
SFX_AMB_Beach_OceanNear,Ambience,Beds,4,yes,2D,120-240s,Ambience,,,0.96-1.04,0.90-1.00,128,"Seamless irregular surf, foreground",SFX_AMB_Beach_OceanNear_{01..04}.wav,WAV 48kHz/24-bit,Vorbis/Streaming,production-needed
SFX_AMB_Beach_OceanFar,Ambience,Beds,4,yes,2D,120-240s,Ambience,,,0.96-1.04,0.90-1.00,128,Seamless distant surf bed,SFX_AMB_Beach_OceanFar_{01..04}.wav,WAV 48kHz/24-bit,Vorbis/Streaming,production-needed
SFX_AMB_Beach_CoastalWind,Ambience,Beds,4,yes,2D,120-240s,Ambience,,,0.96-1.04,0.90-1.00,128,Sea breeze without obvious cyclic gust,SFX_AMB_Beach_CoastalWind_{01..04}.wav,WAV 48kHz/24-bit,Vorbis/Streaming,production-needed
SFX_AMB_Beach_PalmCanopy,Ambience,Beds,4,yes,2D,120-240s,Ambience,,,0.96-1.04,0.90-1.00,128,Palm fronds and dry leaves,SFX_AMB_Beach_PalmCanopy_{01..04}.wav,WAV 48kHz/24-bit,Vorbis/Streaming,production-needed
SFX_AMB_Jungle_DayBed,Ambience,Beds,4,yes,2D,120-240s,Ambience,,,0.96-1.04,0.90-1.00,128,Tropical daytime bed,SFX_AMB_Jungle_DayBed_{01..04}.wav,WAV 48kHz/24-bit,Vorbis/Streaming,production-needed
SFX_AMB_Jungle_NightBed,Ambience,Beds,4,yes,2D,120-240s,Ambience,,,0.96-1.04,0.90-1.00,128,"Night insects, distant fauna",SFX_AMB_Jungle_NightBed_{01..04}.wav,WAV 48kHz/24-bit,Vorbis/Streaming,production-needed
SFX_AMB_Jungle_CanopyWind,Ambience,Beds,4,yes,2D,120-240s,Ambience,,,0.96-1.04,0.90-1.00,128,Broadleaf canopy,SFX_AMB_Jungle_CanopyWind_{01..04}.wav,WAV 48kHz/24-bit,Vorbis/Streaming,production-needed
SFX_AMB_Jungle_DeepBed,Ambience,Beds,4,yes,2D,120-240s,Ambience,,,0.96-1.04,0.90-1.00,128,Enclosed humid jungle,SFX_AMB_Jungle_DeepBed_{01..04}.wav,WAV 48kHz/24-bit,Vorbis/Streaming,production-needed
SFX_AMB_Ridge_WindBed,Ambience,Beds,4,yes,2D,120-240s,Ambience,,,0.96-1.04,0.90-1.00,128,Exposed ridge wind,SFX_AMB_Ridge_WindBed_{01..04}.wav,WAV 48kHz/24-bit,Vorbis/Streaming,production-needed
SFX_AMB_Shelter_Calm,Ambience,Beds,3,yes,2D,120-240s,Ambience,,,0.96-1.04,0.90-1.00,128,Muffled exterior + close tarp micro-movement,SFX_AMB_Shelter_Calm_{01..03}.wav,WAV 48kHz/24-bit,Vorbis/Streaming,production-needed
