event_id,target_variations,production_lane,source_strategy,priority,dependency,status,acceptance
SFX_AMB_Beach_CoastalWind,4,field-source,"Clean coastal/tropical breeze bed; prefer CC0/PD field recording or original field capture; no howling-storm substitution",P1,source-discovery,source-needed,"120s+ candidate segments; seamless-bed edit; no voices/traffic; headset mix review"
SFX_AMB_Beach_PalmCanopy,4,field-source,"Palm/frond canopy field recording; original capture preferred, CC0/PD acceptable with provenance",P1,source-discovery,source-needed,"Distinct non-cyclic leaf movement; 120s+ bed; no close handling noise"
SFX_AMB_Jungle_CanopyWind,4,field-source,"Broadleaf canopy wind field recording; original or CC0/PD with pinned source hash",P1,source-discovery,source-needed,"Humid broadleaf character; long seamless edit; reject dominant birds/voices"
SFX_AMB_Jungle_DeepBed,4,field-source,"Deep tropical forest room tone/bed distinct from day and night headline beds",P1,source-discovery,source-needed,"Low-detail continuous bed; 120s+; no single fauna call dominating loop"
SFX_AMB_Ridge_WindBed,4,field-source,"Existing wind_cc0 audit rejected: indoor howling-wind source is too short and wrong perspective for four exposed-ridge beds; acquire a new authentic exterior wind source",P1,source-discovery,source-needed,"Four genuinely distinct 120s+ exposed-ridge segments; no obvious periodic loop; headset seam review"
SFX_WTH_Storm_RoughOcean,4,field-source,"Rough surf/storm sea recording; do not manufacture roughness from calm waves without listening evidence",P1,source-discovery,source-needed,"Long storm-ocean beds; continuous energy; seamless edit; no voices/boats"
SFX_WTH_Storm_WindGust,10,field-source,"Existing wind_cc0 audit rejected for this role: indoor howling source does not prove ten clean localized outdoor gusts; acquire new exterior gust recordings",P1,source-discovery,source-needed,"Ten natural gust one-shots with attack/body/tail; no pitch-only duplicates"
SFX_WTH_Thunder_Near,8,field-source,"Acquire CC0/PD or original close thunder recordings; keep separate from distant-thunder reviewed job",P1,source-discovery,source-needed,"Eight distinct thunder events; unclipped natural tails; no rain bed baked into every take"
SFX_NAT_Bird_ShoreCall,10,field-source,"Coastal/tropical bird calls from identified species-neutral candidate set; CC0/PD or original",P2,source-discovery,source-needed,"Ten clean distinct calls; no speech; spatial mono; natural tails"
SFX_NAT_Insect_NightChirp,10,field-source,"Night insect one-shots from authentic field recording; separate from continuous cicada cluster",P1,source-discovery,source-needed,"Ten isolated chirps/clusters with natural ambience tail; spatial mono"
SFX_ENV_Fire_Pop,14,field-source,"Existing fire_pd audit rejected for fourteen-pop coverage: the source is only 9.4s; acquire or record a longer clean campfire source with enough distinct natural transients",P1,source-discovery,source-needed,"Fourteen real transient selections; unique temporal events; natural short tails"
