event_id,variation,output_name,source_key,start_seconds,duration_seconds,channels,kind,extra_filters,landing_path,loop_intent,qa_status
SFX_AMB_Beach_OceanNear,01,SFX_AMB_Beach_OceanNear_01.wav,waves_pd,0,50,source,bed,"highpass=f=35,lowpass=f=15000",2D/Streaming/Ambience,yes,candidate-headset-listen
SFX_AMB_Beach_OceanNear,02,SFX_AMB_Beach_OceanNear_02.wav,waves_pd,60,50,source,bed,"highpass=f=35,lowpass=f=15000",2D/Streaming/Ambience,yes,candidate-headset-listen
SFX_AMB_Beach_OceanFar,01,SFX_AMB_Beach_OceanFar_01.wav,waves_pd,130,50,source,bed,"highpass=f=45,lowpass=f=6500,volume=-7dB",2D/Streaming/Ambience,yes,candidate-headset-listen
SFX_AMB_Beach_OceanFar,02,SFX_AMB_Beach_OceanFar_02.wav,waves_pd,195,50,source,bed,"highpass=f=45,lowpass=f=6500,volume=-7dB",2D/Streaming/Ambience,yes,candidate-headset-listen
SFX_WTH_Rain_Light,01,SFX_WTH_Rain_Light_01.wav,rain_light_pd,0,9,source,bed,"highpass=f=80,lowpass=f=13000",2D/Streaming/Weather,yes,candidate-headset-listen
SFX_WTH_Rain_Heavy,01,SFX_WTH_Rain_Heavy_01.wav,rain_heavy_pd,0,40,source,bed,"highpass=f=65,lowpass=f=14500",2D/Streaming/Weather,yes,candidate-headset-listen
SFX_WTH_Storm_Wind,01,SFX_WTH_Storm_Wind_01.wav,wind_cc0,8,52,source,bed,"highpass=f=35,lowpass=f=10000",2D/Streaming/Weather,yes,candidate-headset-listen
SFX_WTH_Storm_Wind,02,SFX_WTH_Storm_Wind_02.wav,wind_cc0,66,52,source,bed,"highpass=f=35,lowpass=f=10000",2D/Streaming/Weather,yes,candidate-headset-listen
SFX_ENV_Fire_Idle,01,SFX_ENV_Fire_Idle_01.wav,fire_pd,0,9,mono,bed,"highpass=f=70,lowpass=f=15000",Spatial/Streaming/Environment,yes,candidate-headset-listen
SFX_ENV_Fire_Low,01,SFX_ENV_Fire_Low_01.wav,fire_pd,0,9,mono,bed,"highpass=f=90,lowpass=f=8000,volume=-6dB",Spatial/Streaming/Environment,yes,candidate-headset-listen
SFX_AMB_Jungle_DayBed,01,SFX_AMB_Jungle_DayBed_01.wav,rainforest_guadeloupe_pd,0,30,source,bed,"highpass=f=70,lowpass=f=14500",2D/Streaming/Ambience,yes,candidate-headset-listen
SFX_NAT_Insect_CicadaCluster,01,SFX_NAT_Insect_CicadaCluster_01.wav,cicada_qingfeng_cc0,0,6,mono,oneshot,"highpass=f=100,lowpass=f=15000",Spatial/OneShots/Nature,no,candidate-headset-listen
SFX_NAT_Insect_CicadaCluster,02,SFX_NAT_Insect_CicadaCluster_02.wav,cicada_qingfeng_cc0,8,6,mono,oneshot,"highpass=f=100,lowpass=f=15000",Spatial/OneShots/Nature,no,candidate-headset-listen
SFX_NAT_Insect_CicadaCluster,03,SFX_NAT_Insect_CicadaCluster_03.wav,cicada_qingfeng_cc0,16,6,mono,oneshot,"highpass=f=100,lowpass=f=15000",Spatial/OneShots/Nature,no,candidate-headset-listen
SFX_NAT_Insect_CicadaCluster,04,SFX_NAT_Insect_CicadaCluster_04.wav,cicada_qingfeng_cc0,24,6,mono,oneshot,"highpass=f=100,lowpass=f=15000",Spatial/OneShots/Nature,no,candidate-headset-listen
SFX_WTH_Thunder_Far,01,SFX_WTH_Thunder_Far_01.wav,thunder_tonitrus_pd,0,8,source,oneshot,"highpass=f=35,lowpass=f=12000",2D/OneShots/Weather,no,candidate-headset-listen
SFX_WTH_Thunder_Far,02,SFX_WTH_Thunder_Far_02.wav,thunder_tonitrus_pd,8,8,source,oneshot,"highpass=f=35,lowpass=f=12000",2D/OneShots/Weather,no,candidate-headset-listen
SFX_WTH_Thunder_Far,03,SFX_WTH_Thunder_Far_03.wav,thunder_tonitrus_pd,16,8,source,oneshot,"highpass=f=35,lowpass=f=12000",2D/OneShots/Weather,no,candidate-headset-listen
SFX_WTH_Thunder_Far,04,SFX_WTH_Thunder_Far_04.wav,thunder_tonitrus_pd,24,8,source,oneshot,"highpass=f=35,lowpass=f=12000",2D/OneShots/Weather,no,candidate-headset-listen
