event_id,target_variations,candidate_key,source_page_url,creator,title,license,source_format,sample_rate_hz,bit_depth,channels,duration_seconds,rank,screening_status,risk_flags,review_action
SFX_AMB_Beach_CoastalWind,4,coastal_wind_richwise,https://freesound.org/people/richwise/sounds/640562/,richwise,Windy clifftop,CC0,WAV,48000,24,stereo,144.706,primary,primary-page-verified,"distant waves; one seagull; occasional natural mic rumble","download original; find >=120 s voice/traffic-free coastal-wind region; reject seagull overlap"
SFX_AMB_Beach_PalmCanopy,4,palm_canopy_klangfabrik,https://freesound.org/people/klangfabrik/sounds/423800/,klangfabrik,Wind through Palm Trees.wav,CC0,WAV,44100,16,stereo,128.938,primary,primary-page-verified,"preview-only high-frequency pips documented by creator; original reported clean","download original only; never use preview; verify clean frond movement and build distinct temporal edits"
SFX_AMB_Jungle_CanopyWind,4,jungle_canopy_rucisko,https://freesound.org/people/rucisko/sounds/469280/,rucisko,windy forest 01,CC0,WAV,44100,24,stereo,332.610,primary,primary-page-verified,"occasional thunder; possible recorder artifacts; birds tagged","download original; select thunder-free/artifact-free broadleaf canopy regions; resample derivatives only"
SFX_AMB_Jungle_DeepBed,4,jungle_deep_larval1977,https://freesound.org/people/larval1977/sounds/38487/,larval1977,Ambient-01_JungleHills.wav,CC0,WAV,48000,16,stereo,154.090,primary,primary-page-verified,"light rain; must remain distinct from headline day/night beds","download original; select low-detail stable room-tone region; reject dominant close fauna"
SFX_AMB_Ridge_WindBed,4,ridge_wind_hidetora,https://freesound.org/people/hidetora/sounds/847257/,hidetora,Wind Over Holehead Hill,CC0,WAV,44100,16,stereo,200.493,primary,primary-page-verified,"single 200 s source cannot alone prove four non-overlapping 120 s variations","download original; headset-review exposed-hill character; use as one source and acquire additional genuine long takes if needed"
SFX_AMB_Ridge_WindBed,4,ridge_wind_felix_field,https://freesound.org/people/felix.blume/sounds/202961/,felix.blume,Strong wind in a field in the countryside in New Mexico (USA),CC0,WAV,96000,24,stereo,180.366,secondary,secondary-page-verified,"open field rather than literal ridge","download original; assess as additional exposed-wind texture; do not substitute if perspective reads flat/ground-level"
SFX_WTH_Storm_RoughOcean,4,rough_ocean_bruno,https://freesound.org/people/bruno.auzet/sounds/706465/,bruno.auzet,strong wind and sea.wav,CC0,WAV,48000,24,stereo,196.004,primary,primary-page-verified,"dock perspective; strong wind and big waves","download original; verify no hidden voices/motors; select continuous storm-sea sections and preserve stereo width"
SFX_WTH_Storm_RoughOcean,4,rough_ocean_frodeims,https://freesound.org/people/frodeims/sounds/616222/,frodeims,storm_sea_close.WAV,CC0,WAV,48000,24,mono,148.356,secondary,secondary-page-verified,"mono; heavy coastal wind mixed with sea","download original; assess as close rough-ocean layer; use only if wave/wind balance supports the runtime role"
SFX_WTH_Storm_WindGust,10,storm_gust_frodeims,https://freesound.org/people/frodeims/sounds/616222/,frodeims,storm_sea_close.WAV,CC0,WAV,48000,24,mono,148.356,primary,primary-page-verified,"ocean/wave contamination possible between gusts","download original; isolate natural outdoor gust attack/body/tails; reject takes with dominant surf"
SFX_WTH_Storm_WindGust,10,storm_gust_sadiquecat,https://freesound.org/s/773670/,Sadiquecat,Perpignan outdoor wind - 2024 12 08,CC0,OGG,48000,0,stereo,840.207,secondary,secondary-page-verified,"lossy OGG source; urban location needs contamination review","download canonical original; isolate strong 85 km/h-class gust events only if no traffic/voices; never transcode a preview"
SFX_WTH_Thunder_Near,8,thunder_near_fission9,https://freesound.org/people/Fission9/sounds/534023/,Fission9,Thunderclap,CC0,WAV,96000,24,stereo,13.465,primary,primary-page-verified,"tiny amount of rain; strike estimated ~1 mile away","download original; inspect peak integrity and natural tail; keep only if it reads near enough in Quest"
SFX_WTH_Thunder_Near,8,thunder_near_martineerok,https://freesound.org/people/Martineerok/sounds/264826/,Martineerok,Thunder (close up),CC0,WAV,48000,24,stereo,25.506,primary,primary-page-verified,"rain/shower tags; exact peak headroom requires original inspection","download original; inspect for clipping; isolate roaring close event with natural decay"
SFX_WTH_Thunder_Near,8,thunder_near_emulius,https://freesound.org/people/Emulius/sounds/744716/,Emulius,Thunder 01,CC0,WAV,48000,24,stereo,23.795,primary,primary-page-verified,"processed to reduce noise/unwanted birds/wind","download original; verify processing is transparent and transient is unclipped before selecting"
SFX_WTH_Thunder_Near,8,thunder_near_fission9_alt,https://freesound.org/people/Fission9/sounds/465314/,Fission9,Thunder,CC0,WAV,48000,24,stereo,32.204,secondary,secondary-page-verified,"phone recording; birds react to strike","download original; reject if phone limiting or bird reaction contaminates usable tail"
SFX_WTH_Thunder_Near,8,thunder_near_cv,https://freesound.org/people/C-V/sounds/830371/,C-V,Big Thunderclap then rain,CC0,WAV,48000,24,stereo,56.264,secondary,secondary-page-verified,"rain follows clap","download original; isolate clap and natural early tail without baking long rain bed into derivative"
SFX_WTH_Thunder_Near,8,thunder_source_unfa_long,https://freesound.org/people/unfa/sounds/159321/,unfa,Heavy Urban Thunderstorm,CC0,FLAC,48000,24,stereo,2475.500,secondary,secondary-page-verified,"urban balcony perspective; rain throughout; source is long-form storm","download original; scan for additional clean distinct thunder events; reject urban intrusions and rain-dominated tails"
SFX_NAT_Bird_ShoreCall,10,shore_birds_reflektwave,https://freesound.org/people/ReflektWave/sounds/847121/,ReflektWave,Sounds of the sea and coastal birds,CC0,WAV,44100,24,stereo,132.000,primary,primary-page-verified,"sea bed under calls","download original; isolate ten genuinely distinct clean bird calls where possible; mono derivatives retain short natural shore tail"
SFX_NAT_Bird_ShoreCall,10,shore_birds_felix_lisbon,https://freesound.org/people/felix.blume/sounds/541657/,felix.blume,Waves and seagulls on the beach close to Lisbon,CC0,WAV,96000,24,stereo,300.000,secondary,secondary-page-verified,"people reported in background","download original; select only speech-free bird events; reject every segment with intelligible people"
SFX_NAT_Insect_NightChirp,10,night_chirp_borgory,https://www.freesound.org/people/Borgory/sounds/751468/,Borgory,Crickets chirping at Night 001,CC0,WAV,48000,24,stereo,180.625,primary,primary-page-verified,"continuous cricket field recording; description says 2-channel mono despite stereo container","download original; identify ten temporal chirp/cluster events; mono spatial derivatives; no pitch-only duplicates"
SFX_NAT_Insect_NightChirp,10,night_chirp_rockies,https://freesound.org/people/ben.jablonski/sounds/842533/,ben.jablonski,NightAmbiance_RockyMountains,CC0,WAV,48000,24,stereo,124.858,secondary,secondary-page-verified,"intermittent wind; Rocky Mountains rather than tropical biome","download original; use only as secondary insect-event source if calls do not read biome-specific/temperate"
